PROMPT,JAPANESE HAIKU,RUSSIAN TRANSLATION
Напиши хайку о весне,春立つや昼の灯くらき山社,Пришла весна — \и днём огонёк светильника \в горном святилище тускл
Создай хайку о времени,筆を噛んでいまだ書かざる妹の春,Грызу кисть — \и всё ещё не написано \о весне сестры
Сочини хайку о природе,寝ごゝろやいづちともなく春は来ぬ,На сердце лёгкость — \неведомо откуда \приходит весна
Напиши хайку о снеге,オリヲンの真下春立つ雪の宿,Под Орионом \наступает весна — \в снежном приюте
Создай хайку о временах года,元日の酔詫に来る二月かな,После новогоднего \пьяного извинения приходит — \февраль
Сочини хайку о окне,ジプシーに占はせをり窓の春,Цыганке гадаю — \и у окна \весна
Напиши хайку о море,起重機の手挙げて立てり海は春,Подъёмный кран \руку поднял — \и море весной
Создай хайку о цветах,娘にゆづる櫛笄や花の春,Дочери передаю \гребень и шпильку — \цветущая весна
Сочини хайку о волнах,さゞ波は立春の譜をひろげたり,Мелкие волны \раскрывают партитуру \начала весны
Напиши хайку о человеческой природе,春立つや愚の上に又愚にかへる,Весна настала — \на глупость \ещё глупость наслаивается
Создай хайку о утре,何事もなくて春たつあしたかな,Ничего особенного — \и весна наступает \в это утро
Сочини хайку о пыли,雪の絵を春も掛けたる埃かな,Картину снега \и весна повесила — \пыль
Напиши хайку о горечи,春も早山吹白く苣苦し,"Весна ранняя — \горная груша бела, \салат горький"
Создай хайку об одиночестве,春立つやそゞろ心の火桶抱く,Весна настала — \беспокойное сердце \прижимаю к жаровне
Сочини хайку о мужчине,草の戸にひとり男や花の春,В дверь из травы \одинокий мужчина — \и весна цветов
Напиши хайку о храме,山寺の春や仏に水仙花,Горный храм весной — \и у Будды \нарциссы
Создай хайку о электричестве,春が来て電柱の体鳴りこもる,Весна пришла — \и в теле столба \гул затаился
Сочини хайку о долине,かかる夜の雨に春立つ谷明り,В такую ночь \под дождём весна настаёт — \свет в долине
Напиши хайку о бане,門口に風呂たく春のとまりかな,У входа баню \топлю — \весенний привал
Напиши хайку о полёте,立春の鳶しばしあり殿づくり,В день начала весны \коршун на мгновение замер — \дворец строится
Создай хайку о конце зимы,寒明や野山の色の自ラ,Конец холодов — \и цвета полей и гор \сами собой
Сочини хайку о лице,面体をつゝめど二月役者かな,Лицо стараюсь \сделать смиренным — \актёр в феврале
Напиши хайку о реке,川添ひの片頬つめたき二月かな,У реки \одна щека холодна — \февраль
Создай хайку о лени,罷出たものは物ぐさ太郎月,"Тот, кто вышел, — \ленивец Таро — \месяц лени"
Сочини хайку о возрасте,六十の寒が明けたる許りなり,Шестьдесят лет — \и всего-то \холода закончились
Напиши хайку о падающих лепестках,栴檀のほろ／＼落る二月かな,Лепестки сандала \медленно опадают — \февраль
Создай хайку о губах,寒明けやひたぶるに濃き唇の紅,Конец холодов — \и страстно алы \губы
Сочини хайку о вороне,早春や吾も鴉もひそひそと,"Ранняя весна — \и я, и ворон \шепчемся"
Напиши хайку о путешествии,初春の二時うつ島の旅館かな,Ранняя весна — \два часа бьют \в островной гостинице
Создай хайку о соловье,切株に鶯とまる二月かな,На пне \соловей сидит — \февраль
Сочини хайку о ветре и дожде,六日はや睦月は古りぬ雨と風,Шестой день — \уже первый месяц устарел \под дождём и ветром
Напиши хайку о музыке,早春や室内楽に枯木なほ,Ранняя весна — \и в камерной музыке \всё те же сухие ветви
Создай хайку об очаге,山国の年端月なる竃火かな,В горной стране \год только начался — \огонь в очаге
Сочини хайку о ветре,木より木にかよへる風の春浅き,От дерева к дереву \бродит ветер — \весна ещё молода
Напиши хайку о дожде,枯れ枝に初春の雨の玉円か,На сухой ветке \дождь ранней весны \катится круглыми каплями
Создай хайку о городе,寒明けの街や雄牛が声押し出す,Конец холодов в городе — \и бык \голос подаёт
Сочини хайку о цапле,春浅き水を渡るや鷺一つ,Весна ещё молода — \переходит воду \одинокая цапля
Напиши хайку о ребёнке,寒明けの臥てあやす子は胸の上,"Конец холодов — \дитя, что лежит и баюкается \у меня на груди"
Создай хайку о течении,早春の流水早し猫柳,Ранней весной \быстрые потоки — \и верба пушистая
Напиши хайку о болезни,病床の匂袋や浅き春,На больничной кровати \мешочек с ароматами — \весна ещё слаба
Создай хайку о деревьях,街路樹に旧正月の鸚鵡館,У придорожных деревьев \попугаиный дом — \старый Новый год
Сочини хайку о памяти,老夫婦の引き出だされし絵踏かな,Пожилая чета \достаёт — \рисунки для попирания
Напиши хайку о дороге,道ばたに旧正月の人立てる,У края дороги \люди стоят — \старый Новый год
Создай хайку о родине,ふるさとや旧正月の雪籠り,Родные места — \и в старый Новый год \снег укрывает
Сочини хайку о небе,白雲や雪解の沢へうつる空,Белые облака — \и небо отражается \в тающем снегом овраге
Напиши хайку о рукоделии,色あせし針山まつるねもごろに,Поблёкшую \игольницу чту \от всего сердца
Создай хайку о ритуале,初午や禰宜に化けたる庄屋殿,"Первый день лошади — \и староста, \притворившийся жрецом"
Сочини хайку об огне,山焼や賽の河原へ火のびたり,Горный пожар — \и огонь ползёт \к Сай-но-Каваре
Напиши хайку о письме,山焼の茶屋に書きたる手紙かな,В чайной у горящей горы \написанное письмо —
Создай хайку о луне,昼月の淡島さまや針供養,Дневная луна — \и госпоже Авасиме \подношение иголок
Сочини хайку о барабане,初午や世話人の来て打つ太鼓,Первый день лошади — \и приходит попечитель \бить в барабан
Напиши хайку о столице,初午や都の春もきのふけふ,Первый день лошади — \и весна в столице \вчера и сегодня
Создай хайку о работе,賃仕事ためて遊ぶや針供養,На заработки коплю — \и гуляю в праздник \подношения иголок
Сочини хайку о визите,如月を縞の羽織の礼者かな,Второй месяц — \и визитёры в полосатых \хаори
Напиши хайку о скромности,二月礼者見し綿虫のわづかかな,Февральские визитёры — \и увиденные мохнатые гусеницы — \такие крошечные
Создай хайку об олене,山焼やほのかにたてる一ツ鹿,Горный пожар — \и смутно встаёт \одинокий олень
Сочини хайку о женщине,絵踏して生きのこりたる女かな,"Попирая образы, \осталась в живых — \женщина"
Напиши хайку о святилище,初午の祠ともりぬ雨の中,Святилище первого дня лошади — \и хранится \под дождём
Создай хайку о поле,雪消えて麦一寸の野づらかな,Снег растаял — \и пшеница на один сун \простор полей
Напиши хайку о торговле,初午や物種売に日の当る,Первый день лошади — \и на продавца семян \светит солнце
Создай хайку о переправе,雪解や渡舟に馬のおとなしき,Таяние снега — \и на пароме лошадь \такая смирная
Сочини хайку о заборе,雪汁のしの字に曲るかきねかな,Снежная каша — \и изгородь изгибается \буквой «сино»
Напиши хайку о звуке,雪解川名山けづる響かな,"Река тающего снега — \и звук, точащий \знаменитые горы"
Создай хайку о лавине,青天に音を消したる雪崩かな,В ясном небе \теряется звук — \лавина
Сочини хайку о льде,葭の根をめぐりて解る氷かな,"У корней тростника \кружась, тает — \лёд"
Напиши хайку о бессоннице,かうかうと雪代が目に眠られず,"С шумом \селевой поток — \в глазах, и сна нет"
Создай хайку о воде,解けて浮く氷のかげや水の底,"Растаяв, всплывает — \тень льда \на дне воды"
Сочини хайку о вороне,川鴉雪しろ水をふるひけり,Речная ворона \снежно-белую воду \встряхивает
Напиши хайку о земле,凍解のはじまる土のにぎやかに,Лёд тает — \начинается \шумная земля
Создай хайку о смерти,掘りおこす人の屍や雪なだれ,Откапывают \человеческий труп — \снежная лавина
Сочини хайку о лошади,馬の尾をむすび揚げたる雪間かな,Конский хвост \связан и поднят — \просветы в снегу
Напиши хайку о свете,凍解の径光りそむ行手かな,Тропа оттаявшей земли \начинает светиться — \впереди пути
Создай хайку о горах,北山やしざりしざりて残る雪,Северные горы — \и медленно-медленно \сходит снег
Сочини хайку о жене,雪なだれ妻は炉辺に居眠れり,Снежная лавина — \а жена у очага \задремала
Напиши хайку о простоте,一枚の餅のごとくに雪残る,Как одна моти — \снег остаётся \лепёшкой
Создай хайку о рисовом поле,春いまだ田毎の雪間／ ＼かな,Весна ещё не пришла — \и на каждом рисовом поле \просветы в снегу
Сочини хайку о сливе,凍どけや梅にわかれて回り道,Лёд растаял — \и из-за сливы \делаю крюк
Напиши хайку о лозе,つやゝかに蔓の実さがる雪解かな,Блестяще \с лозы свисают плоды — \таяние снега
Создай хайку о стеблях,草茎を包む葉もなき雪間かな,"Стебли трав — \и листьев, чтобы укрыть их, нет — \просветы в снегу"
Напиши хайку о камнях,雪残る汚れ／ ＼て石のごと,Снег остаётся \грязными \подобно камням
Создай хайку о тонком льде,せりせりと薄氷杖のなすままに,Осторожно-осторожно \тонкий лёд \послушен посоху
Сочини хайку о цветении,うすらひやわづかに咲ける芹の花,Тонкий лёд — \и чуть распустились \цветы сельдерея
Напиши хайку о холоде,冴返る音や霰の十粒程,"Возвратная стужа — \и звук, будто десять \градин"
Создай хайку о жизни и смерти,いくたびか死におくれし身冴返る,Сколько раз \смерти избегал — \возвратная стужа
Сочини хайку о пруду,凍返る養魚池の風日もすがら,Возвратный мороз \в пруду для разведения рыб — \ветер весь день
Напиши хайку о весеннем холоде,池田から炭くれし春の寒さかな,Из Икэды \уголь достали — \весенний холод
Создай хайку о кукле,春寒く咳入る人形つかひかな,Весенний холод — \и в кукловода \входит кашель
Сочини хайку о облаках,月走る雲はしる春の寒さかな,Луна бежит — \и облака несутся \в весеннем холоде
Напиши хайку о реке,氷江のとけてながれて藍ぼかし,"Ледяная река \тает, течёт — \размытая индиго"
Создай хайку о тепле,關の戸の火鉢ちひさき余寒かな,Ворота заставы — \и маленькая жаровня \остаточный холод
Сочини хайку о неожиданном,鎌倉を驚かしたる余寒あり,В Камакуру \пришла нежданно — \возвратная стужа
Напиши хайку о животных,春寒やぶつかり歩く盲犬,"Весенний холод — \и слепая собака \идёт, натыкаясь"
Создай хайку о золотых рыбках,薄氷の裏を舐めては金魚沈む,Тонкий лёд \с изнанки лижут — \золотые рыбки тонут
Сочини хайку о болезни,病にも色あらば黄や春の風邪,"Если бы у болезни \был цвет — жёлтый, наверное \весенняя простуда"
Напиши хайку о звуке,底たゝく音や余寒の炭俵,Стук о дно — \и звук в остаточном холоде \мешок с углём
Создай хайку о письмах,蒲団着て手紙書くなり春の風邪,В одеяле \пишу письмо — \весенняя простуда
Сочини хайку о луне,三日月はそるぞ寒はさえかへる,Полумесяц \изогнут — и холод \становится острее
Напиши хайку о огороде,はる寒く葱の折ふす畠かな,Весенний холод — \и поникший лук \на огороде
Создай хайку о цвете,春風邪をひいて紫じみてゐる,Весеннюю простуду \подхватил — и лицо \приобрело фиолетовый оттенок
Напиши хайку о памяти,母の忌や其日の如く春時雨,Годовщина смерти матери — \и как в тот день \весенний моросящий дождь
Создай хайку о пути,広野行く幾春時雨幾夕立,"По просторам иду — \сколько весенних дождей, \сколько вечерних гроз"
Сочини хайку о дожде,春驟雨木馬小暗く廻り出す,Весенний ливень — \и конь-качалка \смутно вращается
Напиши хайку о кошках,猫の恋やむとき閨の朧月,Кошачья любовь утихла — \и в опочивальне \туманная луна
Создай хайку о возвращении,濡れて来し雨をふるふや猫の妻,Промокшая \дождь отряхивает — \кошачья жена
Сочини хайку о рыбе,明ぼのやしら魚白きこと一寸,Рассвет — \и белизна рыбы \всего в один сун
Напиши хайку о малом,白魚の小さき顔をもてりけり,У белой рыбы \маленькое лицо \сияет
Создай хайку о любви,恋猫の恋する猫で押し通す,"Влюблённый кот — \и кошка, что любит, \проходит напролом"
Сочини хайку о снеге,公魚のよるさゞなみか降る雪に,Мойва — \и ночные ряби \или падающий снег?
Напиши хайку о лодке,魞挿しや菰の古江に舟入れて,Ставлю ловушки — \и в старую протоку \ввожу лодку
Создай хайку о свете,桟橋の灯にうちこゞみ鱵汲む,Огни причала — \и под их отблеском \ловлю саргана
Сочини хайку о звуке,転び落し音して止みぬ猫の恋,Звук падения — \и смолкает \кошачья любовь
Напиши хайку о сети,白魚をふるひ寄せたる四ツ手かな,Белую рыбу \приближают встряхиванием — \четырёхрукая сеть
Создай хайку о приливе,汐早し鱵おくるゝごとくなり,Морской прилив быстр — \словно сарган \толкает его
Сочини хайку о птицах,魞挿すや遠つならりに鳰のむれ,Ставлю ловушки — \и вдали \стая поганок
Напиши хайку об одиночестве,むさし野や只一つ家のうかれ猫,Мусасино — \и лишь один дом \с гулящей кошкой
Создай хайку о пейзаже,魞挿しや陸の雪景日に穢れ,Ставлю ловушки — \и снежный пейзаж суши \запятнан солнцем
Сочини хайку о времени,時を得たりめめざこ迄も桜魚,Время пришло — \и даже скорпена \вишнёвая рыба
Напиши хайку о дружбе,遠野火や寂しき友と手をつなぐ,Далёкий полевой огонь — \и с одиноким другом \за руку взялись
Создай хайку о сообществе,ちりやすくあつまりやすく鱵らは,"Легко рассеиваются, \легко собираются — \стаи сарганов"
Напиши хайку о сожжении,野とゝもに焼る地蔵のしきみかな,Вместе с полем \сжигают Дзидзо — \цветы сикими
Создай хайку о тумане,野を焼くや棚曇りして二三日,Поле пожара — \и небо затянуто \дня на два-три
